node_id,node_type,name,class,sentience_level,role_type,event_type,artifact_type,org_type,status,source
ORGANIZATION:ARASAKA,ORGANIZATION,Arasaka,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:MILITECH,ORGANIZATION,Militech,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:BIOTECHNICA,ORGANIZATION,Biotechnica,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:PETROCHEM,ORGANIZATION,Petrochem,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:ZETATECH,ORGANIZATION,Zetatech,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:ORBITAL_AIR,ORGANIZATION,Orbital Air,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:KANG_TAO,ORGANIZATION,Kang Tao,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:TRAUMA_TEAM,ORGANIZATION,Trauma Team,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:NIGHT_CORP,ORGANIZATION,Night Corp,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:EBM,ORGANIZATION,EBM,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:LAZARUS_GROUP,ORGANIZATION,Lazarus Group,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ORGANIZATION:KIROSHI,ORGANIZATION,Kiroshi,,,,,,CORP,ACTIVE,DERIVED:[CORPORATIONS_TABLE]
ENTITY:RAVENBOT,ENTITY,RavenBot,AI,AI,,,,,ACTIVE,Chromebook 2
ENTITY:PANTHERSYNTH,ENTITY,PantherSynth,ANIMAL,ANIMAL,,,,,ACTIVE,Chromebook 3+4
ENTITY:RATSPY,ENTITY,RatSpy,AI,AI,,,,,ACTIVE,Chromebook 1
ENTITY:GUARDSNAKE,ENTITY,GuardSnake,AI,AI,,,,,ACTIVE,Chromebook 1
ENTITY:HOWLERMONKEY,ENTITY,HowlerMonkey,ANIMAL,ANIMAL,,,,,ACTIVE,Chromebook 3+4
ENTITY:DOGBOT,ENTITY,Dogbot,AI,AI,,,,,ACTIVE,Chromebook 2
ENTITY:FERROCAT,ENTITY,Ferrocat,AI,AI,,,,,ACTIVE,Wildside
ENTITY:PARROTCOMPANION,ENTITY,ParrotCompanion,AI,AI,,,,,ACTIVE,Chromebook 2
ENTITY:SEWERALLIGATOR,ENTITY,SewerAlligator,AI,AI,,,,,ACTIVE,Black Market (Wildside)
ENTITY:MEDIBEE_NANOSWARM,ENTITY,Medibee NanoSwarm,AI,AI,,,,,ACTIVE,Chromebook 3+4
ENTITY:SPYROACH,ENTITY,Spyroach,AI,AI,,,,,ACTIVE,Chromebook 3+4
